row,col,LAT_NORTH,LONG_EAST,TOPOGRAPHY,point_count
0,118,-2.31634,221.01034,749.45500,1
6,24,-1.30341,205.14112,-1978.32426,1
6,43,-1.30341,208.34873,-2028.35355,4
6,68,-1.30341,212.56927,-1501.11079,4
6,69,-1.30341,212.73809,-1461.80549,5
7,2,-1.13459,201.42705,-1592.39841,1
7,20,-1.13459,204.46584,-1539.42562,2
7,22,-1.13459,204.80348,-1748.15269,3
7,23,-1.13459,204.97230,-1907.58970,3
7,24,-1.13459,205.14112,-1997.84661,2
7,25,-1.13459,205.30995,-2001.29520,3
7,43,-1.13459,208.34873,-2041.37808,5
7,44,-1.13459,208.51755,-2046.76077,1
7,45,-1.13459,208.68637,-2096.98338,1
7,68,-1.13459,212.56927,-1555.69425,8
7,69,-1.13459,212.73809,-1490.87816,11
7,70,-1.13459,212.90691,-1453.49851,4
7,94,-1.13459,216.95862,-790.27589,8
7,95,-1.13459,217.12745,-713.05035,1
7,117,-1.13459,220.84152,-41.25754,1
8,0,-0.96577,201.08941,-1733.66845,9
8,2,-0.96577,201.42705,-1590.39668,12
8,3,-0.96577,201.59587,-1599.84240,3
8,4,-0.96577,201.76470,-1527.04442,4
8,19,-0.96577,204.29702,-1542.43495,3
8,20,-0.96577,204.46584,-1559.79523,7
8,21,-0.96577,204.63466,-1701.92249,2
8,22,-0.96577,204.80348,-1737.95436,9
8,23,-0.96577,204.97230,-1943.15236,13
8,24,-0.96577,205.14112,-2009.74392,5
8,25,-0.96577,205.30995,-2037.87536,4
8,43,-0.96577,208.34873,-2078.38145,5
8,44,-0.96577,208.51755,-2089.03863,7
8,45,-0.96577,208.68637,-2116.53385,11
8,46,-0.96577,208.85520,-2130.70112,5
8,48,-0.96577,209.19284,-2064.59309,6
8,49,-0.96577,209.36166,-2076.68854,4
8,68,-0.96577,212.56927,-1552.69512,1
8,69,-0.96577,212.73809,-1540.57924,1
8,70,-0.96577,212.90691,-1463.07346,4
8,71,-0.96577,213.07573,-1385.38733,2
8,92,-0.96577,216.62098,-940.00426,1
8,93,-0.96577,216.78980,-892.22472,10
8,94,-0.96577,216.95862,-751.36868,4
8,95,-0.96577,217.12745,-715.09453,14
8,96,-0.96577,217.29627,-747.57129,8
8,97,-0.96577,217.46509,-746.13323,3
8,115,-0.96577,220.50387,-99.33795,2
8,116,-0.96577,220.67270,-90.69818,2
8,117,-0.96577,220.84152,-33.40517,15
8,118,-0.96577,221.01034,1.94378,1
9,0,-0.79695,201.08941,-1717.00154,3
9,1,-0.79695,201.25823,-1635.39545,7
9,2,-0.79695,201.42705,-1606.25563,4
9,3,-0.79695,201.59587,-1600.35517,5
9,4,-0.79695,201.76470,-1552.17849,4
9,19,-0.79695,204.29702,-1573.40053,3
9,20,-0.79695,204.46584,-1608.11475,8
9,21,-0.79695,204.63466,-1646.89941,6
9,22,-0.79695,204.80348,-1845.17739,5
9,23,-0.79695,204.97230,-2006.58063,1
9,24,-0.79695,205.14112,-2029.42746,3
9,25,-0.79695,205.30995,-2085.54978,7
9,26,-0.79695,205.47877,-2131.96906,5
9,28,-0.79695,205.81641,-2139.07047,4
9,43,-0.79695,208.34873,-2105.88502,1
9,44,-0.79695,208.51755,-2105.90065,8
9,45,-0.79695,208.68637,-2139.14875,5
9,46,-0.79695,208.85520,-2137.69219,10
9,47,-0.79695,209.02402,-2130.74723,3
9,48,-0.79695,209.19284,-2076.80157,5
9,49,-0.79695,209.36166,-2091.92149,9
9,50,-0.79695,209.53048,-2143.07131,6
9,68,-0.79695,212.56927,-1578.53906,1
9,70,-0.79695,212.90691,-1476.50488,9
9,71,-0.79695,213.07573,-1437.49069,11
9,72,-0.79695,213.24455,-1355.95409,5
9,73,-0.79695,213.41337,-1346.33595,2
9,74,-0.79695,213.58220,-1434.89712,1
9,76,-0.79695,213.91984,-1339.89094,10
9,92,-0.79695,216.62098,-962.65890,14
9,93,-0.79695,216.78980,-916.22939,4
9,94,-0.79695,216.95862,-733.43682,5
9,95,-0.79695,217.12745,-713.68303,2
9,96,-0.79695,217.29627,-759.58673,7
9,97,-0.79695,217.46509,-770.71024,3
9,115,-0.79695,220.50387,-142.06007,2
9,116,-0.79695,220.67270,-83.32910,10
9,117,-0.79695,220.84152,-47.54344,1
9,118,-0.79695,221.01034,-16.82923,3
10,0,-0.62813,201.08941,-1721.81121,3
10,1,-0.62813,201.25823,-1662.22652,9
10,3,-0.62813,201.59587,-1632.66360,9
10,4,-0.62813,201.76470,-1574.41878,8
10,5,-0.62813,201.93352,-1564.59274,3
10,19,-0.62813,204.29702,-1575.50731,3
10,21,-0.62813,204.63466,-1683.74105,7
10,24,-0.62813,205.14112,-2046.91299,6
10,25,-0.62813,205.30995,-2139.73174,2
10,26,-0.62813,205.47877,-2164.10005,9
10,27,-0.62813,205.64759,-2131.46031,2
10,28,-0.62813,205.81641,-2194.92791,4
10,42,-0.62813,208.17991,-2154.35552,3
10,43,-0.62813,208.34873,-2136.72015,2
10,44,-0.62813,208.51755,-2121.36986,1
10,46,-0.62813,208.85520,-2152.96801,2
10,47,-0.62813,209.02402,-2155.17069,4
10,48,-0.62813,209.19284,-2117.32240,6
10,49,-0.62813,209.36166,-2099.46471,4
10,50,-0.62813,209.53048,-2168.76201,9
10,67,-0.62813,212.40045,-1563.74663,8
10,68,-0.62813,212.56927,-1582.22830,3
10,71,-0.62813,213.07573,-1491.30352,4
10,72,-0.62813,213.24455,-1355.08740,8
10,73,-0.62813,213.41337,-1361.61771,7
10,74,-0.62813,213.58220,-1410.87330,13
10,75,-0.62813,213.75102,-1441.06963,16
10,76,-0.62813,213.91984,-1378.68155,6
10,77,-0.62813,214.08866,-1254.26410,7
10,89,-0.62813,216.11452,-910.56089,4
10,92,-0.62813,216.62098,-989.20215,1
10,93,-0.62813,216.78980,-952.02739,2
10,96,-0.62813,217.29627,-767.92162,2
10,97,-0.62813,217.46509,-794.46178,5
10,98,-0.62813,217.63391,-735.26793,5
10,99,-0.62813,217.80273,-707.94425,1
10,100,-0.62813,217.97155,-705.36562,1
10,115,-0.62813,220.50387,-163.39258,5
10,116,-0.62813,220.67270,-98.70444,5
10,118,-0.62813,221.01034,-30.43776,3
11,0,-0.45930,201.08941,-1720.15676,2
11,1,-0.45930,201.25823,-1693.37101,1
11,4,-0.45930,201.76470,-1593.97690,1
11,5,-0.45930,201.93352,-1579.03911,7
11,19,-0.45930,204.29702,-1586.96083,6
11,21,-0.45930,204.63466,-1697.57854,2
11,26,-0.45930,205.47877,-2183.88005,3
11,27,-0.45930,205.64759,-2190.85052,5
11,28,-0.45930,205.81641,-2230.23852,7
11,29,-0.45930,205.98523,-2160.84570,7
11,30,-0.45930,206.15405,-2110.59214,1
11,42,-0.45930,208.17991,-2200.33911,3
11,47,-0.45930,209.02402,-2144.67899,9
11,50,-0.45930,209.53048,-2210.93743,1
11,51,-0.45930,209.69930,-2214.05373,10
11,66,-0.45930,212.23162,-1643.32163,1
11,67,-0.45930,212.40045,-1593.45231,4
11,72,-0.45930,213.24455,-1379.31035,4
11,73,-0.45930,213.41337,-1370.43081,8
11,74,-0.45930,213.58220,-1418.27420,3
11,75,-0.45930,213.75102,-1459.95682,1
11,77,-0.45930,214.08866,-1258.88310,3
11,89,-0.45930,216.11452,-918.62961,8
11,90,-0.45930,216.28334,-958.06989,1
11,91,-0.45930,216.45216,-1029.54484,1
11,92,-0.45930,216.62098,-1016.67377,1
11,97,-0.45930,217.46509,-790.63510,5
11,98,-0.45930,217.63391,-771.75346,12
11,99,-0.45930,217.80273,-731.55858,4
11,100,-0.45930,217.97155,-711.97754,5
11,102,-0.45930,218.30920,-686.67351,1
11,115,-0.45930,220.50387,-208.58150,2
12,5,-0.29048,201.93352,-1594.08776,2
12,19,-0.29048,204.29702,-1614.63793,2
12,27,-0.29048,205.64759,-2188.28025,8
12,28,-0.29048,205.81641,-2232.15003,2
12,29,-0.29048,205.98523,-2166.77442,10
12,30,-0.29048,206.15405,-2122.51234,10
12,31,-0.29048,206.32287,-2105.09858,3
12,42,-0.29048,208.17991,-2219.24849,5
12,47,-0.29048,209.02402,-2165.59247,1
12,51,-0.29048,209.69930,-2200.99563,6
12,52,-0.29048,209.86812,-2219.42432,3
12,53,-0.29048,210.03695,-2214.04622,4
12,66,-0.29048,212.23162,-1623.06694,8
12,67,-0.29048,212.40045,-1613.85302,2
12,77,-0.29048,214.08866,-1246.66436,3
12,88,-0.29048,215.94570,-993.71071,4
