LONG_EAST,LAT_NORTH,TOPOGRAPHY,MOLA_RANGE,PLANET_RAD,C,A,EMPHEMERIS_TIME,UTC,ORBIT
169.88770,1.22566,-1415.82762,396291.49204,3385383.14696,1.13472,0.01207,10531657.89315,2000-05-02T09:47:28.219,15072.12433
169.89499,0.04086,-1365.49015,395721.87545,3385460.66056,1.14210,0.01025,10510908.88051,2000-05-02T04:01:39.928,15067.74200
169.90499,0.14561,-1366.47332,395774.34421,3385453.42456,1.14443,0.00954,10518901.53294,2000-05-02T06:14:56.010,15067.31418
169.91500,0.33644,-1376.39097,395881.80418,3385415.64090,1.14097,0.00907,10402360.29277,2000-04-30T21:52:24.022,15047.70325
169.92501,0.11401,-1365.08082,395760.99834,3385445.31548,1.14481,0.00898,10633715.98213,2000-05-03T14:08:22.247,15086.68200
169.93499,0.25898,-1368.56932,395830.28040,3385449.71815,1.14755,0.00898,10322638.21541,2000-04-29T23:43:45.052,15041.62782
169.94500,0.36906,-1374.26061,395897.01191,3385413.09347,1.14701,0.00897,10422057.67118,2000-05-01T03:20:42.413,15056.33024
169.95500,0.72130,-1393.38306,396044.55600,3385417.92898,1.14642,0.00856,10503768.28584,2000-05-02T02:02:30.164,15067.28187
169.96500,0.37215,-1371.02516,395859.99714,3385475.21366,1.14152,0.00848,10416511.09824,2000-05-01T01:48:06.627,15056.07377
169.97500,0.12346,-1354.63755,395795.88402,3385429.36590,1.13974,0.00871,10588058.91710,2000-05-03T01:27:28.074,15072.54195
169.98501,0.48158,-1376.58953,395947.55748,3385403.35944,1.13053,0.00943,10557244.73292,2000-05-02T16:53:53.788,15071.09488
169.99500,0.15116,-1370.38087,395815.56640,3385495.90598,1.13751,0.00832,10423321.72073,2000-05-01T03:41:45.209,15051.38968
170.00499,0.02810,-1356.26059,395752.51079,3385429.74596,1.13683,0.00901,10391211.66370,2000-04-30T18:46:31.823,15045.60886
170.01500,0.37552,-1377.75902,395937.27096,3385456.35608,1.13674,0.00859,10424692.42922,2000-05-01T04:04:33.466,15049.81626
170.02500,0.03102,-1349.91011,395878.97675,3385432.83521,1.14714,0.00882,10438101.37990,2000-05-01T07:48:03.588,15050.93418
170.03499,-0.11608,-1343.50836,395705.33739,3385469.47929,1.14322,0.00844,10442207.10742,2000-05-01T08:56:29.822,15053.12766
170.04500,0.68824,-1373.63946,395986.01344,3385414.15225,1.13853,0.00886,10473484.40588,2000-05-01T17:37:54.868,15054.08737
170.05501,0.44491,-1371.15488,395870.58630,3385463.61147,1.13496,0.00907,10370692.23126,2000-04-30T13:04:45.732,15038.68796
170.06501,0.12276,-1354.51118,395762.34863,3385437.97042,1.13390,0.01184,10517330.21686,2000-05-02T05:48:34.471,15065.32795
170.07500,0.31922,-1372.54841,395842.48468,3385476.97015,1.13639,0.01043,10432283.97183,2000-05-01T06:11:10.848,15048.66647
170.08499,0.44035,-1369.18404,395890.37621,3385440.56818,1.13841,0.01093,10416760.46452,2000-05-01T01:52:26.433,15047.76539
170.09499,0.28876,-1368.85830,395821.66437,3385457.99432,1.13129,0.01027,10503078.77744,2000-05-02T01:51:05.930,15063.44367
170.10499,0.12727,-1364.33195,395751.42605,3385439.25405,1.12720,0.01108,10496147.83594,2000-05-01T23:55:37.504,15061.18167
170.11500,0.29005,-1365.60847,395842.47111,3385433.32490,1.13026,0.01076,10561109.58339,2000-05-02T17:58:14.251,15067.57999
170.12502,-0.02020,-1357.74818,395683.96226,3385443.76210,1.13009,0.01077,10490493.31777,2000-05-01T22:21:27.873,15056.00275
170.13502,0.38141,-1373.01325,395822.43716,3385463.39600,1.12826,0.01007,10660751.58785,2000-05-03T21:38:58.348,15085.43563
170.14501,0.15292,-1365.45313,395748.52270,3385455.22029,1.12492,0.01075,10576147.75995,2000-05-02T22:08:59.500,15069.33403
170.15499,0.40080,-1368.67130,395848.00786,3385413.22138,1.12942,0.00773,10444100.11242,2000-05-01T09:28:00.671,15056.26771
170.16499,0.23699,-1366.44747,395806.85677,3385429.11333,1.12741,0.00773,10538231.98995,2000-05-02T11:37:03.298,15068.16072
170.17501,0.18120,-1369.59773,395795.34444,3385416.46410,1.12215,0.00829,10439193.56325,2000-05-01T08:06:17.877,15053.43863
170.18501,0.08011,-1368.80632,395773.56019,3385428.08720,1.12662,0.00874,10538024.18064,2000-05-02T11:33:35.339,15062.16082
170.19502,-0.09237,-1352.94360,395714.88506,3385435.83121,1.12795,0.00900,10491933.00433,2000-05-01T22:45:12.440,15061.49715
170.20500,0.06297,-1361.32016,395805.51683,3385402.55784,1.13795,0.00856,10459701.52428,2000-05-01T13:48:15.799,15055.11533
170.21501,0.63686,-1389.62219,395956.78465,3385408.99297,1.13147,0.00847,10531873.10489,2000-05-02T09:51:09.245,15064.05676
170.22501,-0.05619,-1359.30542,395636.88413,3385439.14734,1.12413,0.00888,10540398.87701,2000-05-02T12:13:10.848,15067.35085
170.23501,0.35200,-1371.89403,395831.84320,3385413.51773,1.12539,0.00922,10522341.30655,2000-05-02T07:12:14.320,15065.43527
170.24496,0.34462,-1367.39850,395814.90295,3385416.64100,1.12652,0.00808,10436459.56273,2000-05-01T07:20:53.020,15050.86307
170.25499,0.38303,-1370.14519,395859.05939,3385412.36046,1.13191,0.00820,10575296.72113,2000-05-02T21:54:41.160,15069.98725
170.26500,0.32368,-1361.78272,395833.99769,3385400.65972,1.12937,0.00860,10602282.70876,2000-05-03T05:24:24.695,15076.45082
170.27501,0.07504,-1356.17738,395767.01241,3385440.76535,1.12780,0.00748,10526478.47854,2000-05-02T08:21:06.206,15064.09268
170.28501,0.04344,-1353.98380,395755.91069,3385462.90063,1.13072,0.01076,10463812.36116,2000-05-01T14:56:45.872,15056.36324
170.29501,0.02551,-1346.91405,395733.26233,3385440.73429,1.12537,0.00998,10527170.36563,2000-05-02T08:32:35.006,15065.83623
170.30498,0.35203,-1357.90432,395891.11990,3385420.20051,1.12561,0.01049,10472873.68920,2000-05-01T17:27:39.224,15055.79754
170.31500,-0.18288,-1337.39061,395758.16727,3385437.04246,1.12460,0.01135,10505644.54241,2000-05-02T02:33:48.866,15059.67822
170.32497,-0.25231,-1330.51507,395722.76671,3385472.81525,1.13313,0.00847,10697471.93993,2000-05-04T07:50:53.187,15086.62910
170.33500,-0.08906,-1349.16601,395857.77862,3385428.63566,1.12972,0.00862,10514905.43491,2000-05-02T05:07:52.943,15063.87442
170.34499,-0.09677,-1342.63900,395873.99122,3385421.86980,1.13409,0.00813,10368196.12847,2000-04-30T12:22:49.679,15040.74574
170.35501,0.04926,-1351.32474,395774.72686,3385419.90771,1.13437,0.00773,10536641.07567,2000-05-02T11:10:23.875,15067.86053
170.36499,-0.53509,-1328.04034,395691.20506,3385430.64743,1.14424,0.00803,10361949.59052,2000-04-30T10:38:39.550,15046.67689
170.37501,0.07704,-1352.57828,395901.59844,3385408.30881,1.13374,0.00847,10435078.20280,2000-05-01T06:57:29.490,15049.31849
170.38501,-0.54727,-1321.89295,395913.90420,3385379.42681,1.14004,0.01018,10329515.88598,2000-04-30T01:38:09.268,15039.09172
170.39499,-0.19035,-1348.74723,395628.83936,3385464.58566,1.12710,0.00938,10509813.57043,2000-05-02T03:43:05.837,15064.31567
170.40502,0.66313,-1380.68141,395926.28280,3385377.38089,1.13202,0.00868,10532539.19595,2000-05-02T10:02:12.921,15059.91851
170.41502,0.29118,-1371.81878,395739.68931,3385450.23122,1.13168,0.00935,10669462.98090,2000-05-04T00:04:06.521,15084.16065
170.42499,0.10353,-1361.26985,395663.17324,3385439.09067,1.13337,0.00815,10643068.28097,2000-05-03T16:44:09.573,15082.93983
170.43501,0.60103,-1376.00629,395867.04183,3385435.53650,1.12812,0.01022,10573939.07159,2000-05-02T21:32:08.058,15071.43281
170.44500,0.27615,-1359.44762,395728.68152,3385451.95324,1.13024,0.01098,10552011.91155,2000-05-02T15:26:36.228,15068.06250
170.45500,0.20189,-1357.17850,395716.32209,3385445.77405,1.13595,0.01076,10658147.95260,2000-05-03T20:55:29.131,15086.38879
170.46500,0.20191,-1361.49628,395708.16534,3385450.84624,1.13042,0.00754,10473739.58384,2000-05-01T17:42:08.631,15052.41777
170.47502,0.38532,-1364.47083,395775.44436,3385424.05467,1.12658,0.00645,10630017.32429,2000-05-03T13:06:38.659,15078.63521
170.48499,0.36200,-1366.93783,395778.68999,3385409.13808,1.12902,0.00644,10569820.69552,2000-05-02T20:23:18.592,15074.81714
170.49499,0.16017,-1355.61767,395696.68341,3385418.84113,1.13203,0.00794,10579556.49865,2000-05-02T23:05:40.551,15069.15567
170.50498,0.41265,-1370.77243,395800.78514,3385421.87542,1.13633,0.00661,10501954.45140,2000-05-02T01:32:15.730,15059.21877
170.51500,0.40081,-1370.40471,395781.52740,3385437.34624,1.13187,0.00762,10615652.27424,2000-05-03T09:07:15.274,15077.35678
170.52499,0.12744,-1357.97902,395684.67739,3385442.45370,1.14466,0.00678,10506354.52050,2000-05-02T02:45:30.098,15059.75188
170.53501,0.26172,-1362.38915,395798.01711,3385395.81554,1.13267,0.00663,10369487.49229,2000-04-30T12:44:28.494,15040.80600
170.54501,0.10742,-1353.04321,395681.71549,3385435.29671,1.13862,0.00757,10502505.13652,2000-05-02T01:41:21.121,15061.28039
170.55500,0.87819,-1390.31348,396039.16362,3385385.34172,1.14592,0.00810,10464032.70913,2000-05-01T15:00:05.535,15056.91134
170.56501,0.32402,-1362.88843,395776.00011,3385419.23636,1.13998,0.00754,10498575.67780,2000-05-02T00:35:57.614,15057.96730
170.57499,0.60217,-1378.67211,395887.60023,3385418.02181,1.14570,0.00726,10430813.33953,2000-05-01T05:46:30.196,15049.61435
170.58500,0.27320,-1366.70909,395794.40210,3385392.59587,1.13990,0.00811,10488209.32496,2000-05-01T21:43:11.294,15056.82422
170.59499,0.45766,-1379.57168,395847.95770,3385434.06943,1.14245,0.00669,10521022.99257,2000-05-02T06:50:04.870,15068.27044
170.60500,0.50076,-1383.19378,395937.95598,3385399.52417,1.14704,0.00808,10568341.83028,2000-05-02T19:58:42.332,15069.97809
170.61501,0.24254,-1369.25853,395738.88654,3385420.27227,1.14823,0.00698,10554902.02303,2000-05-02T16:14:47.989,15069.72592
170.62502,0.21641,-1364.28400,395691.45407,3385450.90466,1.14272,0.00559,10495550.48185,2000-05-01T23:45:35.931,15058.83750
170.63502,0.52077,-1375.84443,395872.57097,3385393.06765,1.14122,0.00668,10540389.25090,2000-05-02T12:12:57.174,15063.65303
170.64502,0.01045,-1358.04726,395552.35103,3385453.44661,1.13771,0.00686,10505147.55394,2000-05-02T02:25:30.048,15072.08773
170.65501,0.14780,-1372.11826,395636.49063,3385433.37857,1.13778,0.00610,10447511.15499,2000-05-01T10:24:50.441,15061.73302
170.66500,0.56722,-1379.79335,395797.33850,3385422.38643,1.14105,0.00615,10439563.92495,2000-05-01T08:12:28.441,15055.17042
170.67501,0.30649,-1368.88045,395683.44838,3385440.52804,1.14817,0.00578,10449713.73784,2000-05-01T11:01:41.520,15056.70210
170.68500,0.27358,-1370.26941,395685.18040,3385437.70510,1.14385,0.00613,10537328.18473,2000-05-02T11:21:49.355,15073.78596
170.69499,0.48836,-1382.74641,395782.12811,3385434.27378,1.14451,0.00627,10595340.30873,2000-05-03T03:28:46.383,15078.78944
170.70499,0.16684,-1362.33551,395649.15073,3385410.61590,1.14333,0.00776,10463251.98620,2000-05-01T14:47:08.203,15064.25738
170.71498,0.27972,-1367.22441,395669.62027,3385458.62044,1.13426,0.00653,10565091.75929,2000-05-02T19:04:38.717,15077.79017
170.72501,0.23447,-1358.38460,395656.06342,3385442.96748,1.13488,0.00738,10475222.62638,2000-05-01T18:06:47.712,15061.56696
170.73500,0.32570,-1366.14203,395656.79755,3385458.78613,1.13607,0.00736,10494267.95034,2000-05-01T23:24:08.910,15064.94230
170.74499,0.07037,-1354.06317,395564.13602,3385463.81532,1.13927,0.00758,10493217.22815,2000-05-01T23:06:36.865,15063.94910
170.75499,0.21519,-1360.56817,395659.34274,3385446.64436,1.14182,0.00669,10584443.75000,2000-05-03T00:27:05.711,15078.23440
170.76499,0.21322,-1357.40243,395639.75168,3385456.81076,1.14492,0.00653,10534979.07530,2000-05-02T10:42:41.739,15072.54040
170.77500,0.48975,-1365.02165,395765.78538,3385422.34757,1.14317,0.00607,10602813.47090,2000-05-03T05:33:12.239,15080.60171
170.78500,0.23166,-1358.42609,395645.49516,3385454.65054,1.14577,0.00649,10536186.19520,2000-05-02T11:02:45.686,15071.66066
170.79500,0.25976,-1355.18373,395684.14545,3385466.39713,1.14492,0.00561,10590372.32778,2000-05-03T02:05:47.135,15079.56107
170.80499,0.23894,-1357.59260,395646.26595,3385465.17248,1.15183,0.00579,10567024.62925,2000-05-02T19:36:47.008,15077.68517
170.81499,0.56840,-1375.47600,395792.09728,3385450.64563,1.14739,0.00537,10525419.82176,2000-05-02T08:03:23.203,15070.30516
170.82500,0.00523,-1349.36668,395561.60784,3385436.50958,1.15091,0.00650,10519904.73483,2000-05-02T06:31:26.654,15068.65789
170.83500,-0.09197,-1348.16197,395533.42558,3385455.39720,1.14762,0.00671,10663948.00331,2000-05-03T22:32:08.357,15088.77967
170.84501,0.16941,-1357.75051,395646.06405,3385427.96914,1.14738,0.00695,10531466.45681,2000-05-02T09:44:15.955,15072.19781
170.85499,0.35799,-1363.90976,395697.04857,3385472.50089,1.15114,0.00932,10638125.21067,2000-05-03T15:21:53.105,15088.54537
170.86499,0.48760,-1368.26146,395791.08278,3385420.86380,1.14969,0.00855,10499636.03759,2000-05-02T00:53:46.674,15063.82003
170.87500,0.23805,-1357.97172,395685.73295,3385408.93069,1.14832,0.00757,10601963.91526,2000-05-03T05:19:07.290,15084.98589
170.88500,0.23862,-1366.72653,395678.54556,3385445.27584,1.14606,0.00834,10611749.02265,2000-05-03T08:02:14.222,15081.40803
170.89499,0.17340,-1373.31500,395643.94710,3385438.35213,1.14561,0.00777,10473346.98161,2000-05-01T17:35:25.714,15064.98148
170.90499,0.45460,-1384.34487,395793.98672,3385407.64643,1.15037,0.00866,10548308.90473,2000-05-02T14:24:56.903,15070.26807
170.91501,0.46865,-1385.34210,395845.85760,3385386.08092,1.14743,0.00832,10538923.22778,2000-05-02T11:48:21.590,15072.25464
170.92499,0.55651,-1382.61486,395855.19493,3385391.00321,1.15142,0.00796,10576934.09450,2000-05-02T22:21:55.880,15080.61505
170.93498,0.64384,-1388.50580,395892.28542,3385405.99812,1.15697,0.00774,10479343.60205,2000-05-01T19:15:22.591,15062.10449
170.94497,0.06065,-1356.66776,395622.82677,3385411.76405,1.16213,0.00811,10564372.35404,2000-05-02T18:52:34.897,15078.11388
170.95500,0.67261,-1388.49327,395899.50329,3385398.99114,1.15650,0.00812,10480247.78681,2000-05-01T19:30:23.590,15060.06671
170.96501,0.46850,-1386.35483,395804.39887,3385423.18829,1.15263,0.00883,10603295.40981,2000-05-03T05:41:16.433,15082.17349
170.97499,0.56218,-1384.36261,395842.28943,3385403.78138,1.15832,0.01061,10493334.93906,2000-05-01T23:08:34.813,15064.80822
170.98499,0.52628,-1385.45805,395825.58342,3385409.11702,1.15375,0.00979,10580746.58297,2000-05-02T23:25:27.490,15080.05455
170.99499,0.34449,-1384.75719,395740.84768,3385436.69570,1.16157,0.00642,10490691.86521,2000-05-01T22:24:30.540,15066.14299
171.00501,0.34597,-1375.78133,395752.08700,3385413.37269,1.15906,0.00596,10513804.25611,2000-05-02T04:49:39.693,15067.75496
171.01499,0.69011,-1391.92022,395913.80459,3385395.68384,1.15338,0.00645,10556593.29926,2000-05-02T16:42:52.925,15075.32472
171.02497,0.47122,-1394.55235,395768.13726,3385469.19071,1.15883,0.00613,10463971.03357,2000-05-01T14:59:15.463,15061.72175
171.03499,0.55094,-1400.95437,395831.02588,3385397.57238,1.15071,0.00632,10485219.15916,2000-05-01T20:53:17.550,15062.72038
171.04501,0.47335,-1393.92108,395820.53197,3385410.36468,1.15522,0.00560,10500204.86574,2000-05-02T01:03:01.575,15068.38557
171.05498,0.58080,-1410.11087,395830.43885,3385432.38746,1.14937,0.00618,10478572.63475,2000-05-01T19:02:28.023,15064.83056
171.06500,0.43333,-1401.38271,395822.47316,3385389.60348,1.15770,0.00661,10492281.60064,2000-05-01T22:51:05.826,15067.36548
171.07499,0.63584,-1416.41529,395862.32592,3385401.17328,1.16142,0.00574,10554026.35269,2000-05-02T16:00:04.448,15071.71632
171.08499,0.39961,-1415.06599,395792.60833,3385383.37355,1.15511,0.00630,10500576.63615,2000-05-02T01:09:23.771,15068.70645
171.09502,0.45777,-1422.93319,395810.91709,3385395.50009,1.15331,0.00577,10524686.00171,2000-05-02T07:50:59.189,15068.45650
171.10500,0.40873,-1420.82657,395788.82316,3385399.61581,1.15746,0.00665,10580887.80560,2000-05-02T23:27:38.727,15079.52962
171.11499,0.47689,-1426.89629,395843.91093,3385366.78301,1.15434,0.00632,10430380.94694,2000-05-01T05:39:21.800,15053.06412
171.12500,0.68332,-1443.30923,395905.31228,3385377.09494,1.15617,0.00615,10514721.00746,2000-05-02T05:04:54.520,15071.84257
171.13501,0.30273,-1424.94013,395768.62717,3385396.51954,1.15247,0.00645,10563418.11259,2000-05-02T18:36:36.341,15077.21297
171.14499,0.62897,-1437.79436,395882.58517,3385381.75897,1.15774,0.00611,10486911.07545,2000-05-01T21:21:20.131,15064.16548
171.15500,0.31477,-1417.56989,395744.82257,3385378.94736,1.16077,0.00578,10521665.30245,2000-05-02T07:00:44.254,15071.41986
171.16501,0.37117,-1427.69458,395757.27359,3385427.73728,1.15572,0.00774,10473480.50128,2000-05-01T17:37:46.941,15061.34253
171.17501,0.54023,-1432.42561,395844.23769,3385408.22315,1.15410,0.00686,10527840.51458,2000-05-02T08:43:44.183,15071.37231
171.18501,0.35453,-1424.25254,395755.87990,3385401.16377,1.15514,0.00987,10487740.79768,2000-05-01T21:35:28.665,15063.09244
