LONG_EAST,LAT_NORTH,TOPOGRAPHY,MOLArange,planet_rad,c,A,Ephermis Time,UTC,Orbit
180.00502,-1.06620,-2126.12358,388566.38444,3392805.38131,1.11664,0.03161,10713983.56194,1999-10-25T03:13:29.273,15127.99637
180.01501,-1.05861,-2132.86437,388581.30085,3392796.97941,1.13029,0.03285,10771140.09564,2000-08-25T19:30:54.253,15132.86971
180.02502,-0.92035,-2136.54585,388680.47077,3392788.10618,1.14989,0.03150,10793764.64030,1999-10-15T08:56:31.756,15139.44207
180.03500,-0.91675,-2120.41250,388666.44437,3392802.76906,1.14870,0.03256,11016623.72474,1999-12-22T04:27:28.760,15168.03473
180.04499,-0.93475,-2125.25267,388658.16890,3392802.07035,1.13224,0.03279,10891107.13555,1999-05-30T04:13:11.236,15149.94135
180.05498,-0.96775,-2118.90299,388633.54100,3392809.21547,1.12559,0.02932,10951706.29906,1999-05-15T19:00:46.058,15158.82338
180.06496,-0.98666,-2099.04117,388590.90279,3392830.09174,1.12340,0.03103,10929086.64699,1999-07-15T09:57:33.753,15159.24929
180.07499,-1.00275,-2088.96563,388573.83021,3392838.82075,1.10749,0.03225,10862985.74448,1999-07-20T00:51:30.272,15146.71086
180.08500,-0.97154,-2082.81065,388586.14628,3392842.79464,1.10863,0.02806,10869159.83882,1999-11-03T21:30:48.985,15147.40827
180.09502,-0.97590,-2071.73313,388573.55273,3392852.23981,1.09882,0.02793,10877704.98967,2000-01-20T11:18:25.271,15145.84962
180.10498,-0.90063,-2071.72810,388615.88823,3392851.20727,1.10967,0.02481,10798561.84762,1999-05-13T05:19:01.880,15137.42251
180.11496,-0.96376,-2049.95173,388557.87882,3392874.57905,1.10247,0.01612,10931444.17783,1999-09-14T00:51:57.774,15159.38982
180.12500,-0.98437,-2057.53505,388551.48858,3392872.28521,1.11135,0.01504,10964948.45535,1999-08-08T13:24:46.290,15161.18797
180.13501,-0.92064,-2075.48005,388606.19191,3392856.38890,1.09989,0.01623,11119366.00286,2000-02-18T18:09:32.036,15185.73927
180.14502,-0.99891,-2061.26732,388545.50957,3392873.56247,1.09967,0.01414,11191552.22927,1999-11-18T06:41:43.195,15192.73469
180.15502,-1.00198,-2061.82555,388537.14840,3392873.62281,1.12740,0.01742,11196059.12547,1999-07-20T00:51:18.271,15193.30926
180.16501,-1.01137,-2057.36370,388527.69821,3392878.96471,1.11253,0.01644,11141492.53499,2000-01-13T06:42:50.235,15185.28133
180.17500,-1.04955,-2057.04517,388496.25214,3392883.18047,1.10223,0.01643,11020820.03364,1999-11-11T02:06:07.399,15168.22198
180.18498,-1.03780,-2068.16444,388516.70889,3392873.14362,1.10555,0.01644,11110960.22235,1999-09-21T05:27:23.705,15180.97663
180.19500,-0.94192,-2079.91248,388579.25827,3392858.21596,1.11286,0.01649,10990653.06258,1999-12-22T04:27:05.159,15163.78087
180.20498,-0.90753,-2086.81183,388604.43293,3392850.26905,1.11695,0.01655,11027898.94725,1999-07-22T14:32:24.929,15171.94557
180.21499,-0.89219,-2085.21238,388620.22397,3392846.83929,1.11245,0.01538,10973921.78505,1999-05-30T04:12:45.535,15161.42491
180.22499,-0.86441,-2089.71055,388626.37853,3392844.61378,1.10484,0.01638,10874445.54947,1999-05-22T23:36:32.896,15150.64980
180.23499,-0.87594,-2080.53235,388620.35260,3392852.50454,1.12267,0.01643,11016479.20646,2000-03-30T20:29:02.242,15167.60679
180.24501,-0.94309,-2069.20486,388578.58212,3392866.89528,1.11788,0.01642,11062398.48501,1999-11-11T02:05:56.799,15177.16204
180.25501,-1.03216,-2055.89648,388519.22445,3392879.82133,1.13942,0.01642,11148807.51075,2000-02-25T22:44:30.098,15189.40219
180.26501,-1.09120,-2037.45096,388471.57730,3392892.86355,1.11882,0.01635,11114887.80227,1999-07-15T09:57:04.052,15181.75727
180.27500,-1.00048,-2041.99290,388526.41631,3392885.16898,1.11769,0.01635,11106234.73804,1999-12-27T07:50:18.706,15180.54849
180.28498,-0.83791,-2051.91979,388624.05851,3392868.55435,1.13680,0.01616,10996179.29856,2001-02-16T23:59:12.985,15165.47828
180.29499,-0.89688,-2043.18080,388593.37745,3392878.78685,1.12477,0.01523,11256440.58287,1999-08-11T03:05:32.740,15204.90642
180.30499,-0.85309,-2039.97125,388606.25227,3392878.21962,1.10894,0.01520,11134344.37325,2001-02-09T19:20:48.155,15187.70467
180.31500,-0.86233,-2033.89916,388611.91558,3392880.24410,1.10733,0.01700,11361185.11703,1999-07-29T19:07:19.083,15217.78888
180.32500,-0.83575,-2022.09897,388622.68911,3392891.74206,1.12513,0.01502,11516653.91140,2000-10-13T02:31:25.143,15239.39435
180.33499,-0.77152,-2028.48084,388667.81802,3392882.54004,1.12943,0.01596,11608919.97386,1999-10-27T16:54:40.353,15252.82376
180.34501,-0.71703,-2038.12677,388698.04746,3392873.33868,1.12636,0.01584,11446040.79717,1999-06-18T16:47:39.513,15233.00950
180.35499,-0.64777,-2048.53230,388744.54585,3392858.00397,1.10679,0.01591,11514991.54140,1999-11-30T14:40:07.316,15236.70014
180.36500,-0.53578,-2061.41696,388804.85643,3392848.91781,1.13071,0.01607,11221454.29891,1999-07-03T01:58:20.269,15197.62607
180.37500,-0.64573,-2047.37671,388743.94432,3392857.91331,1.10795,0.01598,11396052.55467,2001-01-24T08:51:46.957,15231.47585
180.38501,-0.47274,-2071.13365,388853.42747,3392834.31493,1.11908,0.01590,11249800.20189,1999-07-29T19:07:08.483,15202.11201
180.39500,-0.55094,-2051.47714,388790.34215,3392848.61937,1.12359,0.01589,11122965.14666,2000-12-02T10:48:17.300,15187.12076
180.40502,-0.63333,-2035.91772,388719.59618,3392862.33941,1.11331,0.01483,10892662.08859,1999-08-11T03:05:16.439,15151.58066
180.41501,-0.61464,-2032.63059,388725.56685,3392866.23737,1.13039,0.01484,11026049.49182,1999-11-08T12:23:30.429,15170.43074
180.42502,-0.62323,-2027.32557,388712.83877,3392872.37959,1.12115,0.01488,11013537.75163,1999-05-13T05:18:13.778,15168.54729
180.43498,-0.61845,-2035.89969,388726.90446,3392861.33719,1.12227,0.01480,10975264.84498,2000-11-10T20:57:31.430,15163.34355
180.44500,-0.60434,-2038.13295,388738.30946,3392853.93915,1.15813,0.01567,11022309.18551,1999-05-22T23:35:59.695,15170.51863
180.45500,-0.66489,-2036.06047,388701.11182,3392859.88744,1.14070,0.01579,11032495.64662,2000-02-03T20:28:12.641,15168.72561
180.46498,-0.76073,-2015.03424,388622.88175,3392883.75231,1.16216,0.01685,11172116.09407,1999-06-16T03:06:00.968,15194.33310
180.47502,-0.79935,-2010.33110,388603.46389,3392889.73369,1.13462,0.01469,11295446.02219,2000-02-23T09:02:03.007,15214.86329
180.48501,-0.97312,-1990.37325,388487.35588,3392909.45925,1.13937,0.01592,11106697.81446,2000-01-08T03:18:42.682,15184.74814
180.49500,-0.97546,-1984.56715,388479.13158,3392917.31384,1.14437,0.01479,11056043.69859,1999-04-11T21:10:57.438,15174.82852
180.50498,-0.97931,-1979.42731,388477.15234,3392917.74638,1.13942,0.01568,10994165.27742,1999-12-07T19:15:17.223,15169.39735
180.51497,-1.02396,-1975.75503,388439.87540,3392922.18243,1.12803,0.01583,10881870.69027,2000-10-13T02:30:51.942,15150.19486
180.52497,-0.98815,-1973.68976,388467.15372,3392923.38421,1.12311,0.01578,10972016.65453,2000-04-09T14:44:59.322,15163.08383
180.53500,-0.93894,-1977.59197,388473.53006,3392919.51366,1.11701,0.01572,10598833.25193,1999-06-08T22:30:14.583,15110.40936
180.54501,-0.87452,-1978.43570,388504.60079,3392915.04073,1.11259,0.01473,10418480.82050,1999-08-01T08:48:34.836,15084.67590
180.55498,-0.83888,-1973.97765,388524.41071,3392918.33608,1.10711,0.01575,10360874.52382,1999-04-14T10:52:56.710,15079.51558
180.56500,-0.73040,-1986.83355,388595.34604,3392908.24606,1.10039,0.01580,10371808.31660,2000-05-25T20:28:11.418,15080.94665
180.57498,-0.77258,-1987.75947,388582.72302,3392908.43315,1.09936,0.01597,10435425.09891,1999-08-11T03:04:51.338,15089.50568
180.58500,-0.81749,-1988.72629,388548.95843,3392907.13506,1.10120,0.01481,10369778.93183,1999-05-15T18:59:26.255,15077.53702
180.59501,-0.75338,-2001.32380,388600.17156,3392902.08486,1.12023,0.01591,10660925.57736,1999-08-08T13:23:35.188,15118.65205
180.60502,-0.71962,-2003.26467,388618.83418,3392896.28733,1.10301,0.01699,10629684.82313,2000-03-04T03:18:54.075,15114.18018
